local_a_m,local_b_m,x_m,y_m,diameter_upper_bound_m,move_distance_m,move_and_detect_time_s
650.0,-740.0,650.0,-740.0,138.3233737176092,984.9365461794988,201.98730923589977
670.0,710.0,670.0,710.0,138.36581322803877,976.2171889492624,200.2434377898525
670.0,-710.0,670.0,-710.0,138.36581322803877,976.2171889492624,200.2434377898525
630.0,770.0,630.0,770.0,138.3997245871445,994.8869282486327,203.97738564972653
630.0,-770.0,630.0,-770.0,138.3997245871445,994.8869282486327,203.97738564972653
720.0,640.0,720.0,640.0,138.46435930441694,963.3275663033836,197.66551326067673
720.0,-640.0,720.0,-640.0,138.46435930441694,963.3275663033836,197.66551326067673
690.0,680.0,690.0,680.0,138.54358657461907,968.7620966986683,198.75241933973365
690.0,-680.0,690.0,-680.0,138.54358657461907,968.7620966986683,198.75241933973365
750.0,600.0,750.0,600.0,138.66226738107576,960.4686356149273,197.09372712298546
750.0,-600.0,750.0,-600.0,138.66226738107576,960.4686356149273,197.09372712298546
640.0,750.0,640.0,750.0,138.83509273949983,985.9513172565875,202.1902634513175
640.0,-750.0,640.0,-750.0,138.83509273949983,985.9513172565875,202.1902634513175
660.0,720.0,660.0,720.0,138.85167523700537,976.7292357659824,200.34584715319647
660.0,-720.0,660.0,-720.0,138.85167523700537,976.7292357659824,200.34584715319647
710.0,650.0,710.0,650.0,138.876526679923,962.6006440887104,197.5201288177421
710.0,-650.0,710.0,-650.0,138.876526679923,962.6006440887104,197.5201288177421
760.0,600.0,760.0,600.0,138.91871711021489,968.2974749528164,198.65949499056327
760.0,-600.0,760.0,-600.0,138.91871711021489,968.2974749528164,198.65949499056327
620.0,780.0,620.0,780.0,138.93371433873446,996.3934965664921,204.27869931329843
620.0,-780.0,620.0,-780.0,138.93371433873446,996.3934965664921,204.27869931329843
680.0,690.0,680.0,690.0,138.99925121837555,968.7620966986683,198.75241933973365
680.0,-690.0,680.0,-690.0,138.99925121837555,968.7620966986683,198.75241933973365
770.0,610.0,770.0,610.0,139.00689586592947,982.344135219425,201.468827043885
770.0,-610.0,770.0,-610.0,139.00689586592947,982.344135219425,201.468827043885
740.0,610.0,740.0,610.0,139.02027852328553,959.0099061010789,196.80198122021577
740.0,-610.0,740.0,-610.0,139.02027852328553,959.0099061010789,196.80198122021577
700.0,660.0,700.0,660.0,139.29669888733093,962.0810776644555,197.4162155328911
700.0,-660.0,700.0,-660.0,139.29669888733093,962.0810776644555,197.4162155328911
650.0,730.0,650.0,730.0,139.34273356509087,977.4456506629921,200.4891301325984
650.0,-730.0,650.0,-730.0,139.34273356509087,977.4456506629921,200.4891301325984
630.0,760.0,630.0,760.0,139.35112789364402,987.1676655968832,202.43353311937665
630.0,-760.0,630.0,-760.0,139.35112789364402,987.1676655968832,202.43353311937665
780.0,620.0,780.0,620.0,139.36674787906276,996.3934965664921,204.27869931329843
780.0,-620.0,780.0,-620.0,139.36674787906276,996.3934965664921,204.27869931329843
730.0,620.0,730.0,620.0,139.3886140471566,957.7577981932593,196.55155963865187
730.0,-620.0,730.0,-620.0,139.3886140471566,957.7577981932593,196.55155963865187
670.0,700.0,670.0,700.0,139.4612029216635,968.9685237405805,198.7937047481161
670.0,-700.0,670.0,-700.0,139.4612029216635,968.9685237405805,198.7937047481161
610.0,790.0,610.0,790.0,139.47130497007996,998.0981915623332,204.61963831246663
610.0,-790.0,610.0,-790.0,139.47130497007996,998.0981915623332,204.61963831246663
690.0,670.0,690.0,670.0,139.72452018943738,961.7692030835673,197.35384061671346
690.0,-670.0,690.0,-670.0,139.72452018943738,961.7692030835673,197.35384061671346
720.0,630.0,720.0,630.0,139.7667776065595,956.7131231461184,196.34262462922368
720.0,-630.0,720.0,-630.0,139.7667776065595,956.7131231461184,196.34262462922368
640.0,740.0,640.0,740.0,139.83878630090064,978.3659846908007,200.67319693816015
640.0,-740.0,640.0,-740.0,139.83878630090064,978.3659846908007,200.67319693816015
620.0,770.0,620.0,770.0,139.87132088557465,988.5848471426214,202.71696942852427
620.0,-770.0,620.0,-770.0,139.87132088557465,988.5848471426214,202.71696942852427
660.0,710.0,660.0,710.0,139.92918279335115,969.3812459502195,198.8762491900439
660.0,-710.0,660.0,-710.0,139.92918279335115,969.3812459502195,198.8762491900439
600.0,800.0,600.0,800.0,140.0123718361867,1000.0,205.0
600.0,-800.0,600.0,-800.0,140.0123718361867,1000.0,205.0
750.0,590.0,750.0,590.0,140.10911620972743,954.2536350467835,195.85072700935672
750.0,-590.0,750.0,-590.0,140.10911620972743,954.2536350467835,195.85072700935672
710.0,640.0,710.0,640.0,140.1543054207468,955.8765610684259,196.17531221368517
710.0,-640.0,710.0,-640.0,140.1543054207468,955.8765610684259,196.17531221368517
680.0,680.0,680.0,680.0,140.15965661122667,961.6652224137047,197.33304448274095
680.0,-680.0,680.0,-680.0,140.15965661122667,961.6652224137047,197.33304448274095
630.0,750.0,630.0,750.0,140.33964251126545,979.4896630388705,200.8979326077741
630.0,-750.0,630.0,-750.0,140.33964251126545,979.4896630388705,200.8979326077741
760.0,590.0,760.0,590.0,140.3707593883263,962.1330469326995,197.4266093865399
760.0,-590.0,760.0,-590.0,140.3707593883263,962.1330469326995,197.4266093865399
610.0,780.0,610.0,780.0,140.39552160837303,990.2019995940223,203.04039991880444
610.0,-780.0,610.0,-780.0,140.39552160837303,990.2019995940223,203.04039991880444
650.0,720.0,650.0,720.0,140.40294674578323,970.0,199.0
650.0,-720.0,650.0,-720.0,140.40294674578323,970.0,199.0
740.0,600.0,740.0,600.0,140.43717548175627,952.6804291051643,195.53608582103286
740.0,-600.0,740.0,-600.0,140.43717548175627,952.6804291051643,195.53608582103286
770.0,600.0,770.0,600.0,140.43836934983375,976.165969494942,200.23319389898842
770.0,-600.0,770.0,-600.0,140.43836934983375,976.165969494942,200.23319389898842
700.0,650.0,700.0,650.0,140.55076361753535,955.24865872714,196.049731745428
700.0,-650.0,700.0,-650.0,140.55076361753535,955.24865872714,196.049731745428
590.0,810.0,590.0,810.0,140.55679642589493,1002.0977996183806,205.4195599236761
590.0,-810.0,590.0,-810.0,140.55679642589493,1002.0977996183806,205.4195599236761
670.0,690.0,670.0,690.0,140.60179427600113,961.7692030835673,197.35384061671346
670.0,-690.0,670.0,-690.0,140.60179427600113,961.7692030835673,197.35384061671346
780.0,610.0,780.0,610.0,140.76908354493904,990.2019995940223,203.04039991880444
780.0,-610.0,780.0,-610.0,140.76908354493904,990.2019995940223,203.04039991880444
730.0,610.0,730.0,610.0,140.77677896295617,951.3148795220224,195.26297590440447
730.0,-610.0,730.0,-610.0,140.77677896295617,951.3148795220224,195.26297590440447
620.0,760.0,620.0,760.0,140.8451214874195,980.8159868191383,201.16319736382766
620.0,-760.0,620.0,-760.0,140.8451214874195,980.8159868191383,201.16319736382766
640.0,730.0,640.0,730.0,140.88226443106018,970.8243919473799,199.16487838947597
640.0,-730.0,640.0,-730.0,140.88226443106018,970.8243919473799,199.16487838947597
600.0,790.0,600.0,790.0,140.92358760496012,992.0181449953423,203.40362899906845
600.0,-790.0,600.0,-790.0,140.92358760496012,992.0181449953423,203.40362899906845
690.0,660.0,690.0,660.0,140.95574583279455,954.829827770373,195.9659655540746
690.0,-660.0,690.0,-660.0,140.95574583279455,954.829827770373,195.9659655540746
660.0,700.0,660.0,700.0,141.05063789235828,962.0810776644555,197.4162155328911
660.0,-700.0,660.0,-700.0,141.05063789235828,962.0810776644555,197.4162155328911
720.0,620.0,720.0,620.0,141.1273584377466,950.1578816175762,195.03157632351525
720.0,-620.0,720.0,-620.0,141.1273584377466,950.1578816175762,195.03157632351525
610.0,770.0,610.0,770.0,141.35505205290704,982.344135219425,201.468827043885
610.0,-770.0,610.0,-770.0,141.35505205290704,982.344135219425,201.468827043885
630.0,740.0,630.0,740.0,141.36691826822454,971.8538984847465,199.3707796969493
630.0,-740.0,630.0,-740.0,141.36691826822454,971.8538984847465,199.3707796969493
680.0,670.0,680.0,670.0,141.36887103788362,954.6203433826455,195.9240686765291
680.0,-670.0,680.0,-670.0,141.36887103788362,954.6203433826455,195.9240686765291
590.0,800.0,590.0,800.0,141.4553835726282,994.0321926376429,203.80643852752857
590.0,-800.0,590.0,-800.0,141.4553835726282,994.0321926376429,203.80643852752857
710.0,630.0,710.0,630.0,141.48838369614865,949.2101980067429,194.84203960134857
710.0,-630.0,710.0,-630.0,141.48838369614865,949.2101980067429,194.84203960134857
650.0,710.0,650.0,710.0,141.50590937630426,962.6006440887104,197.5201288177421
650.0,-710.0,650.0,-710.0,141.50590937630426,962.6006440887104,197.5201288177421
750.0,580.0,750.0,580.0,141.62404772474883,948.1033698917012,194.62067397834022
750.0,-580.0,750.0,-580.0,141.62404772474883,948.1033698917012,194.62067397834022
670.0,680.0,670.0,680.0,141.78978157020745,954.6203433826455,195.9240686765291
670.0,-680.0,670.0,-680.0,141.78978157020745,954.6203433826455,195.9240686765291
620.0,750.0,620.0,750.0,141.85670255241527,973.0878685915266,199.61757371830532
620.0,-750.0,620.0,-750.0,141.85670255241527,973.0878685915266,199.61757371830532
700.0,640.0,700.0,640.0,141.85935937946846,948.4724561103501,194.69449122207
700.0,-640.0,700.0,-640.0,141.85935937946846,948.4724561103501,194.69449122207
600.0,780.0,600.0,780.0,141.86927192739273,984.0731680114035,201.8146336022807
600.0,-780.0,600.0,-780.0,141.86927192739273,984.0731680114035,201.8146336022807
760.0,580.0,760.0,580.0,141.89108528010945,956.0334722173696,196.20669444347394
760.0,-580.0,760.0,-580.0,141.89108528010945,956.0334722173696,196.20669444347394
740.0,590.0,740.0,590.0,141.91977500975787,946.4142856064674,194.2828571212935
740.0,-590.0,740.0,-590.0,141.91977500975787,946.4142856064674,194.2828571212935
770.0,590.0,770.0,590.0,141.93613142229313,970.0515450222221,199.01030900444442
770.0,-590.0,770.0,-590.0,141.93613142229313,970.0515450222221,199.01030900444442
640.0,720.0,640.0,720.0,141.9673465946341,963.3275663033836,197.66551326067673
640.0,-720.0,640.0,-720.0,141.9673465946341,963.3275663033836,197.66551326067673
580.0,810.0,580.0,810.0,141.99078090598294,996.2429422585637,204.24858845171275
580.0,-810.0,580.0,-810.0,141.99078090598294,996.2429422585637,204.24858845171275
660.0,690.0,660.0,690.0,142.21814134509586,954.829827770373,195.9659655540746
660.0,-690.0,660.0,-690.0,142.21814134509586,954.829827770373,195.9659655540746
730.0,600.0,730.0,600.0,142.2283967837736,944.9338601193207,193.98677202386415
730.0,-600.0,730.0,-600.0,142.2283967837736,944.9338601193207,193.98677202386415
780.0,600.0,780.0,600.0,142.23543155212573,984.0731680114035,201.8146336022807
780.0,-600.0,780.0,-600.0,142.23543155212573,984.0731680114035,201.8146336022807
690.0,650.0,690.0,650.0,142.2398221352373,947.9451460923253,194.58902921846507
690.0,-650.0,690.0,-650.0,142.2398221352373,947.9451460923253,194.58902921846507
610.0,760.0,610.0,760.0,142.3514226380384,974.5255255764212,199.90510511528424
610.0,-760.0,610.0,-760.0,142.3514226380384,974.5255255764212,199.90510511528424
590.0,790.0,590.0,790.0,142.38762714116893,986.0020283954796,202.20040567909592
590.0,-790.0,590.0,-790.0,142.38762714116893,986.0020283954796,202.20040567909592
630.0,730.0,630.0,730.0,142.43470221731022,964.2613753542138,197.85227507084275
630.0,-730.0,630.0,-730.0,142.43470221731022,964.2613753542138,197.85227507084275
570.0,820.0,570.0,820.0,142.529657274856,998.6490875177326,204.7298175035465
570.0,-820.0,570.0,-820.0,142.529657274856,998.6490875177326,204.7298175035465
790.0,610.0,790.0,610.0,142.54729108463178,998.0981915623332,204.61963831246663
790.0,-610.0,790.0,-610.0,142.54729108463178,998.0981915623332,204.61963831246663
720.0,610.0,720.0,610.0,142.54926351625966,943.6630754670864,193.73261509341728
720.0,-610.0,720.0,-610.0,142.54926351625966,943.6630754670864,193.73261509341728
680.0,660.0,680.0,660.0,142.62933804665573,947.6286192385706,194.52572384771412
680.0,-660.0,680.0,-660.0,142.62933804665573,947.6286192385706,194.52572384771412
650.0,700.0,650.0,700.0,142.65363422984214,955.24865872714,196.049731745428
650.0,-700.0,650.0,-700.0,142.65363422984214,955.24865872714,196.049731745428
600.0,770.0,600.0,770.0,142.85089418887273,976.165969494942,200.23319389898842
600.0,-770.0,600.0,-770.0,142.85089418887273,976.165969494942,200.23319389898842
710.0,620.0,710.0,620.0,142.8817699613575,942.6027795418386,193.52055590836773
710.0,-620.0,710.0,-620.0,142.8817699613575,942.6027795418386,193.52055590836773
620.0,740.0,620.0,740.0,142.9077426679662,965.4014708917736,198.0802941783547
620.0,-740.0,620.0,-740.0,142.9077426679662,965.4014708917736,198.0802941783547
580.0,800.0,580.0,800.0,142.90997149570086,988.12954616285,202.62590923257
580.0,-800.0,580.0,-800.0,142.90997149570086,988.12954616285,202.62590923257
670.0,670.0,670.0,670.0,143.02750030617466,947.5230867899737,194.50461735799473
670.0,-670.0,670.0,-670.0,143.02750030617466,947.5230867899737,194.50461735799473
560.0,830.0,560.0,830.0,143.0718962340979,1001.2492197250393,205.24984394500785
560.0,-830.0,560.0,-830.0,143.0718962340979,1001.2492197250393,205.24984394500785
640.0,710.0,640.0,710.0,143.095962563011,955.8765610684259,196.17531221368517
640.0,-710.0,640.0,-710.0,143.095962563011,955.8765610684259,196.17531221368517
